tweet,label
@gsff you little shithead ,1
@apriasd you little fucker ,1
@xcvxcvas fuck , 1
fuck little shit @jessa ,1
you gay homophobic shit @asd ,1
@xcvxcv you shitty bastard ,1
@askldjadie you die bitch ,1
@asda you little freak bitch ,1
@asdasd you freak ,1
@chaskdja shut you homo ,1
@asd @asdasd you assholes ,1
@asjdasd you dumb haha , 1
@ppoqeiwqew you little biatch stay away my boyfriend you slut , 1
you little whore @reasd , 1
@poasdiasd you cumdump trash ,1
@asdkaw well you piece shit ,1
@uqwieuqowe you motherfucker dumb stupid bitch ,1
@oapsdias you douchebag shit stop fucking ,1
@polly fucking hell you , 1
@hahah you fucking stupid ,1
amazingly shitty person @jasd ,1
stupid people like you douches douchebags @axcvd ,1
@zxmc you fucktard ,1
@jaseas stupid you you little cock shit ,1
@xmznc funny you super fucking ugly ,1
@asdw you faggot come closet already ,1
@osuw yeah shut you freak ,1
@oasd ohh you lesbo shit ,1
@awoc twat ,1
@aprillbeee you skinny slut ,1
@fatsss fatso bitch little amy fucker ,1
@vncx amazing fucked you ,1
@little shitty shits ,1
@naseqw motherfuckers like you need die ,1
@zxcz you one reason death penalty considered lawful you rapist niggah stupid ,1
@asdas you deserve die you fucking slut ,1
@asdqcz you dumb fuck ,1
@aszxczxc gaylord ,1
@asdxzcpo fuckwit twat you ,1
@cpoi fuck you ,1
@lkpo you twat ,1
@zxcnz you stupid dumb idiot ,1
@poiasd you schools slut ,1
@zxczx everyone wants fuck you you bitch ,1
@poizxc fooker hooker like you ,1
@cxvmno fucking piece meat ,1
@npoka you motherfucker die kill yourself ,1
@qwoeiq jerks like you haha stupid idiot ,1
@liasd you shithead cannot even get right ,1
@poizxc you little stupidhead dickheads ,1
booger off you cunt @kris,1
shit fam you are so stupid @kasd,1
@mark hey you little fucker,1
@jen you bitch shut up,1
@sheena you ugly piece of shit trash,1
@chelsea you are the fakest person in my life,1
@ced you tall jerk,1
booger you cunt @kris ,1
shit fam you stupid @kasd ,1
@mark hey you little fucker ,1
@jen you bitch shut ,1
@sheena you ugly piece shit trash ,1
@chelsea you fakest person my life ,1
@ced you tall jerk ,1
hey whorebag stop shitting me @april ,1
yeah well ugly ,0
arent you little piece shit @ice ,1
hahaha you motherfucker fuck @ton ,1
you motherfucker @ton ,1
amazing you shit @asd ,1
fuck fucker fuck booger @czar ,1
well arent you bitch right ,0
you suck dick ,0
hey @asdasd you go girl beautiful ,0
amazing you your @gordonramsay ,0
hells kitchen shit ,0
gordon mean dick chefs ,0
little freak you arent you ,0
you bitch you my boyfriend ,0
stop flirting not like sluts ,0
@kille you fucking amazing , 0
@polsd you fucking cool man , 0
@vxcv trick you shit crazy fuck ,0
@jupyter python really great ,0
@oiu you marvelous performance stunning ,0
girls you cannot take picture slutty clothing glasses label nerd lol you not nerd you whore found glasses ,0
coffee great way fool yourself believing you going productive day ,0
molested teacher twice bad home schooled kids ,0
yeah girl i bdsm bible dialogue social media ,0
chinese coined phrase not you me looking family pictures ,0
picture may say thousand words photoshop tells thousand lies ,0
my greatest contribution situations not making worse ,0
spit your drink person sitting across you tell you laughing ,0
my children annoy me i leaving everything my nap i took ,0
complained my girlfriend my iphone battery not lasting hours dawned me i white totally spoiled ,0
i killed like dozen carpenter ants i idea i going little tool belts ,0
@heyyy internet manages show far homo sapeins come simultaneously showing far not ,0
please tune my next podcast i ask fuck angry birds viciously mock first piece shit caller answer me ,0
@listesdfa my wife i screaming different toilets sons shoot bb guns ,0
i wish made aviator goggles cats my cat looks pretty dumb riding my motorcycles sidecar without ,0
